time,open,high,low,close,"AU07Y-NZ07Y, TVC: Open","AU07Y-NZ07Y, TVC: High","AU07Y-NZ07Y, TVC: Low","AU07Y-NZ07Y, TVC: Close","AU01Y-NZ01Y, TVC: Open","AU01Y-NZ01Y, TVC: High","AU01Y-NZ01Y, TVC: Low","AU01Y-NZ01Y, TVC: Close","AU05Y-NZ05Y, TVC: Open","AU05Y-NZ05Y, TVC: High","AU05Y-NZ05Y, TVC: Low","AU05Y-NZ05Y, TVC: Close","AU02Y-NZ02Y, TVC: Open","AU02Y-NZ02Y, TVC: High","AU02Y-NZ02Y, TVC: Low","AU02Y-NZ02Y, TVC: Close","AU10Y-NZ10Y, TVC: Open","AU10Y-NZ10Y, TVC: High","AU10Y-NZ10Y, TVC: Low","AU10Y-NZ10Y, TVC: Close",MA,Smoothing Line,Volume,Volume MA,Basic EPS,EPS estimates,Average basic shares outstanding,Diluted shares outstanding
1996-02-20T22:00:00Z,1.1136,1.1184,1.1088,1.1158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.124065999999999,1.1286593999999939,NaN,NaN,NaN,NaN,NaN,NaN
1996-02-21T22:00:00Z,1.1173,1.1228,1.1126,1.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1235159999999988,1.1281617999999938,NaN,NaN,NaN,NaN,NaN,NaN
1996-02-22T22:00:00Z,1.1204,1.1214,1.1157,1.1191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.122849999999999,1.1276580999999937,NaN,NaN,NaN,NaN,NaN,NaN
1996-02-25T22:00:00Z,1.1174,1.1237,1.1164,1.1221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.122661999999999,1.1271805999999938,NaN,NaN,NaN,NaN,NaN,NaN
1996-02-26T22:00:00Z,1.1232,1.1283,1.1221,1.1274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.122455999999999,1.1267248999999937,NaN,NaN,NaN,NaN,NaN,NaN
1996-02-27T22:00:00Z,1.1273,1.1411,1.1262,1.1364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.122497999999999,1.1263044999999938,NaN,NaN,NaN,NaN,NaN,NaN
1996-02-28T22:00:00Z,1.1362,1.1389,1.1325,1.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1224779999999992,1.125914899999994,NaN,NaN,NaN,NaN,NaN,NaN
1996-02-29T22:00:00Z,1.1361,1.139,1.1287,1.1304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1223759999999992,1.1255355999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-03T22:00:00Z,1.1337,1.1341,1.1256,1.1287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1222219999999992,1.1251665999999936,NaN,NaN,NaN,NaN,NaN,NaN
1996-03-04T22:00:00Z,1.129,1.1293,1.12,1.1259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1220159999999992,1.1248053999999938,NaN,NaN,NaN,NaN,NaN,NaN
