,asofdate,pnl,strategy,positionType
4470,1988-10-06 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4475,1988-10-13 00:00:00+00:00,11.5,arma_threshold_ma,long
4480,1988-10-20 00:00:00+00:00,0.75,arma_threshold_ma,short
4485,1988-10-27 00:00:00+00:00,11.0,arma_threshold_ma,short
4490,1988-11-03 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4495,1988-11-10 01:00:00+00:00,-7.75,arma_threshold_ma,short
4500,1988-11-17 01:00:00+00:00,8.0,arma_threshold_ma,short
4505,1988-11-25 01:00:00+00:00,15.25,arma_threshold_ma,short
4510,1988-12-02 01:00:00+00:00,-5.75,arma_threshold_ma,short
4515,1988-12-09 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4520,1988-12-16 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4525,1988-12-23 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4530,1989-01-03 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4535,1989-01-10 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4540,1989-01-17 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4545,1989-01-24 01:00:00+00:00,21.75,arma_threshold_ma,short
4550,1989-01-31 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4555,1989-02-07 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4560,1989-02-14 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4565,1989-02-22 01:00:00+00:00,2.0,arma_threshold_ma,long
4570,1989-03-01 01:00:00+00:00,3.5,arma_threshold_ma,long
4575,1989-03-08 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4580,1989-03-15 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4585,1989-03-22 01:00:00+00:00,0.0,arma_threshold_ma,no_position
4590,1989-03-30 01:00:00+00:00,3.0,arma_threshold_ma,short
4595,1989-04-06 00:00:00+00:00,14.25,arma_threshold_ma,short
4600,1989-04-13 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4605,1989-04-20 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4610,1989-04-27 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4615,1989-05-04 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4620,1989-05-11 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4625,1989-05-18 00:00:00+00:00,0.0,arma_threshold_ma,no_position
4630,1989-05-25 00:00:00+00:00,0.75,arma_threshold_ma,short
4635,1989-06-02 00:00:00+00:00,7.0,arma_threshold_ma,short
4640,1989-06-09 00:00:00+00:00,2.5,arma_threshold_ma,short
4645,1989-06-16 00:00:00+00:00,0.0,arma_threshold_ma,no_position
