,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ma.L1.close
29,2021-08-03 00:00:00+00:00,-676.0993534931007,-661.981637143055,-670.4186769246471,0.046872774631052216,0.003877290946054518,0.9572555696118855,5,True,252,400,1,1,0 days 00:00:00.390226,matic,0.627419064077792,0.5820392089506873
30,2021-08-08 00:00:00+00:00,-678.3880263609766,-664.2703100109309,-672.707349792523,0.04657379643502193,0.003842768689741546,0.9572614588563616,5,True,252,400,1,1,0 days 00:00:00.376164,matic,0.4673286597062393,0.418208825067338
31,2021-08-13 00:00:00+00:00,-691.4347684384342,-677.3170520883884,-685.7540918699806,0.04538138751781616,0.0036482465124863033,0.958439506510208,5,True,252,400,1,1,0 days 00:00:00.220617,matic,0.26721528342599377,0.22702920896293308
32,2021-08-18 00:00:00+00:00,-690.5873800360267,-676.469663685981,-684.9067034675732,0.045328200157084435,0.0036611406515474395,0.9605372984699662,5,True,252,400,1,1,0 days 00:00:00.261762,matic,0.3037342525146546,0.26122400170890037
33,2021-08-23 00:00:00+00:00,-688.4579857943557,-674.34026944431,-682.7773092259022,0.04540595786339217,0.0036922203341840636,0.9629655810914347,5,True,252,400,1,1,0 days 00:00:00.279707,matic,0.6091960847974183,0.5718997759125087
34,2021-08-28 00:00:00+00:00,-692.546023189121,-678.4283068390753,-686.8653466206674,0.044936001716804,0.003632432283884438,0.9631157724259632,5,True,252,400,1,1,0 days 00:00:00.219988,matic,0.49943140344647174,0.459074644419999
35,2021-09-02 00:00:00+00:00,-660.9923430799776,-646.8746267299318,-655.311666511524,0.04709580088062708,0.004117020047978743,0.993089478260572,5,True,252,400,1,1,0 days 00:00:00.196029,matic,0.4987544016184415,0.49180169753405484
36,2021-09-07 00:00:00+00:00,-670.9015835206256,-656.7838671705799,-665.2209069521721,0.04672910245733626,0.003958163845142407,0.9875062283832914,5,True,252,400,1,1,0 days 00:00:00.161495,matic,0.39656430567311074,0.38550653967819243
37,2021-09-12 00:00:00+00:00,-665.5408727301887,-651.4231563801429,-659.8601961617351,0.04736870637781316,0.004043408659700065,0.9875680660682263,5,True,252,400,1,1,0 days 00:00:00.204580,matic,0.40362614436341643,0.3945137418390185
38,2021-09-17 00:00:00+00:00,-666.1031684600122,-651.9854521099664,-660.4224918915586,0.0473426193970126,0.004034285348864616,0.9881315591493628,5,True,252,400,1,1,0 days 00:00:00.266994,matic,0.39217500241977643,0.3846063053301849
39,2021-09-22 00:00:00+00:00,-675.5588511711829,-661.4411348211372,-669.8781746027294,0.04643689398678522,0.0038856288382421644,0.9889388162651848,5,True,252,400,1,1,0 days 00:00:00.166999,matic,0.39015736052609745,0.38561186113439816
40,2021-09-27 00:00:00+00:00,-676.0315617921709,-661.9138454421252,-670.3508852237173,0.04643401361621818,0.0038783819924727023,0.9875882621203331,5,True,252,400,1,1,0 days 00:00:00.293849,matic,0.3772584952156614,0.3742625494783124
41,2021-10-02 00:00:00+00:00,-677.4848492046721,-663.3671328546263,-671.8041726362185,0.04621999163686949,0.003856051762568654,0.9869934814860624,5,True,252,400,1,1,0 days 00:00:00.188640,matic,0.35607742785929414,0.3504775378558928
42,2021-10-07 00:00:00+00:00,-665.2622543957751,-651.1445380457294,-659.5815778273216,0.047697636732272085,0.00404787283518668,0.9964316971305941,5,True,252,400,1,1,0 days 00:00:00.260382,matic,0.3605564504894682,0.3573689407587183
43,2021-10-12 00:00:00+00:00,-659.0575162178967,-644.939799867851,-653.3768396494431,0.04848375838822962,0.004148580196196153,0.9938916162992859,5,True,252,400,1,1,0 days 00:00:00.158999,matic,0.3487622859177055,0.3507918402301066
