asofdate,pnl,pointForecast,forecastday,product_name
2009-07-26 21:46:00+00:00,53.5,947.8404113425462,5,SPY
2009-08-02 21:46:00+00:00,31.0,978.9961105856856,5,SPY
2009-08-09 21:46:00+00:00,20.75,999.763859092748,5,SPY
2009-08-16 21:46:00+00:00,6.75,1006.476235575964,5,SPY
2009-08-30 21:46:00+00:00,46.25,1023.5235799004734,5,SPY
2009-09-14 21:46:00+00:00,5.25,1024.097853466065,5,SPY
2009-09-21 21:46:00+00:00,21.0,1045.4112353196715,5,SPY
2009-09-28 21:46:00+00:00,21.25,1066.695929810192,5,SPY
2009-10-19 21:46:00+00:00,20.25,1068.9868885851135,5,SPY
2009-10-26 21:46:00+00:00,20.75,1089.791479058336,5,SPY
2009-11-16 22:46:00+00:00,50.25,1092.693690134672,5,SPY
2009-11-23 22:46:00+00:00,15.5,1108.4182540082588,5,SPY
2009-12-08 22:46:00+00:00,5.0,1109.1867846683936,5,SPY
2009-12-22 22:46:00+00:00,10.25,1106.593700825018,5,SPY
2009-12-30 22:46:00+00:00,9.75,1116.6579433453712,5,SPY
2010-01-14 22:46:00+00:00,30.75,1142.4514820162465,5,SPY
2010-02-07 22:46:00+00:00,6.25,1087.446779525077,5,SPY
2010-02-15 22:46:00+00:00,30.25,1059.1168629811227,5,SPY
2010-03-01 22:46:00+00:00,4.0,1099.1778302167618,5,SPY
2010-03-08 22:46:00+00:00,20.25,1119.6033332137604,5,SPY
2010-03-15 21:46:00+00:00,23.0,1142.8418907752332,5,SPY
2010-03-22 21:46:00+00:00,14.25,1156.2517505599217,5,SPY
2010-03-29 21:46:00+00:00,14.75,1170.849957726753,5,SPY
2010-04-13 21:46:00+00:00,9.5,1180.7095412899653,5,SPY
2010-04-20 21:46:00+00:00,27.5,1208.110349349858,5,SPY
2010-05-18 21:46:00+00:00,5.75,1170.9121484776078,5,SPY
2010-06-02 21:46:00+00:00,48.75,1061.9607168904815,5,SPY
2010-06-16 21:46:00+00:00,19.75,1084.2495227959914,5,SPY
2010-06-30 21:46:00+00:00,41.25,1070.16547616473,5,SPY
2010-07-08 21:46:00+00:00,48.75,1022.1809645659944,5,SPY
2010-07-22 21:46:00+00:00,9.5,1064.5521033838536,5,SPY
2010-08-05 21:46:00+00:00,2.25,1099.6865512100276,5,SPY
2010-08-12 21:46:00+00:00,21.25,1120.5845919556386,5,SPY
2010-09-02 21:46:00+00:00,6.5,1065.169129159351,5,SPY
2010-09-19 21:46:00+00:00,12.75,1116.567215070409,5,SPY
2010-09-26 21:46:00+00:00,20.25,1136.1366706292454,5,SPY
2010-10-03 21:46:00+00:00,1.25,1138.1475712495746,5,SPY
2010-10-17 21:46:00+00:00,27.5,1162.6388286106678,5,SPY
2010-10-24 21:46:00+00:00,16.0,1178.6455476384244,5,SPY
2010-10-31 21:46:00+00:00,4.5,1181.6189508015875,5,SPY
2010-11-07 22:46:00+00:00,0.25,1182.568242818706,5,SPY
2010-11-14 22:46:00+00:00,37.0,1220.4821766826335,5,SPY
2010-11-29 22:46:00+00:00,2.25,1197.162598810566,5,SPY
2010-12-13 22:46:00+00:00,43.75,1222.2537026692723,5,SPY
2010-12-20 22:46:00+00:00,13.5,1235.8181912207165,5,SPY
2010-12-28 22:46:00+00:00,14.0,1249.8918030549708,5,SPY
2011-01-04 22:46:00+00:00,5.0,1254.999295753776,5,SPY
2011-01-11 22:46:00+00:00,16.0,1272.1805298683134,5,SPY
2011-01-19 22:46:00+00:00,11.75,1282.9988400828372,5,SPY
2011-02-02 22:46:00+00:00,19.5,1295.113807028242,5,SPY
2011-02-09 22:46:00+00:00,7.5,1304.310698696783,5,SPY
2011-02-16 22:46:00+00:00,15.5,1319.7381671989483,5,SPY
2011-02-24 22:46:00+00:00,19.0,1338.6275728862906,5,SPY
2011-03-10 22:46:00+00:00,1.5,1321.0339499619838,5,SPY
2011-03-31 21:46:00+00:00,35.75,1310.3210195430593,5,SPY
2011-04-07 21:46:00+00:00,17.75,1328.0182947524902,5,SPY
2011-05-08 21:46:00+00:00,27.0,1358.014958314771,5,SPY
2011-06-06 21:46:00+00:00,28.75,1346.3961027406108,5,SPY
2011-07-12 21:46:00+00:00,41.25,1336.9140885692898,5,SPY
2011-08-02 21:46:00+00:00,22.25,1300.6837392095968,5,SPY
2011-08-09 21:46:00+00:00,44.5,1255.0444550583863,5,SPY
2011-08-16 21:46:00+00:00,131.0,1141.971558516172,5,SPY
2011-08-30 21:46:00+00:00,18.0,1174.182928595116,5,SPY
2011-09-14 21:46:00+00:00,32.0,1204.25,5,SPY
2011-09-28 21:46:00+00:00,80.75,1123.4964758844976,5,SPY
2011-10-26 21:46:00+00:00,12.0,1205.4874086682523,5,SPY
2011-11-02 21:46:00+00:00,72.5,1282.254445226721,5,SPY
2011-12-15 22:46:00+00:00,9.5,1250.873803673027,5,SPY
2012-01-02 22:46:00+00:00,49.25,1260.9559639644517,5,SPY
2012-01-09 22:46:00+00:00,11.75,1269.682619665258,5,SPY
2012-01-17 22:46:00+00:00,14.0,1286.0153035237106,5,SPY
2012-01-24 22:46:00+00:00,16.25,1301.6986411109008,5,SPY
2012-01-31 22:46:00+00:00,18.0,1319.8968379346668,5,SPY
2012-02-14 22:46:00+00:00,27.25,1347.6668558209883,5,SPY
2012-02-29 22:46:00+00:00,20.75,1362.621834616822,5,SPY
2012-03-07 22:46:00+00:00,11.5,1373.9562020959816,5,SPY
2012-03-21 21:46:00+00:00,29.5,1395.1398533642005,5,SPY
2012-04-04 21:46:00+00:00,9.25,1398.8990681832056,5,SPY
2012-04-26 21:46:00+00:00,10.25,1375.2713637621366,5,SPY
2012-05-03 21:46:00+00:00,23.25,1398.868036696928,5,SPY
2012-05-24 21:46:00+00:00,59.25,1290.4696263477445,5,SPY
2012-06-10 21:46:00+00:00,42.0,1270.4684616960042,5,SPY
2012-07-01 21:46:00+00:00,34.5,1309.9069503739547,5,SPY
2012-08-06 21:46:00+00:00,45.0,1373.4915130726667,5,SPY
2012-08-13 21:46:00+00:00,22.5,1397.5040361777371,5,SPY
2012-08-20 21:46:00+00:00,4.5,1402.368697589705,5,SPY
2012-08-27 21:46:00+00:00,11.0,1413.0873824038003,5,SPY
2012-09-18 21:46:00+00:00,36.0,1440.0116331986285,5,SPY
2012-09-25 21:46:00+00:00,13.75,1453.7470140231812,5,SPY
2012-10-09 21:46:00+00:00,17.75,1446.2602464230768,5,SPY
2012-10-23 21:46:00+00:00,30.75,1457.6342965972797,5,SPY
2012-11-07 22:46:00+00:00,18.0,1424.3002491991406,5,SPY
2012-11-14 22:46:00+00:00,48.0,1375.6751666983707,5,SPY
2012-11-22 22:46:00+00:00,24.0,1352.4972431143617,5,SPY
2012-12-20 22:46:00+00:00,6.75,1410.29076777581,5,SPY
2013-01-07 22:46:00+00:00,6.0,1419.5090195560674,5,SPY
2013-01-14 22:46:00+00:00,32.25,1452.7110771357015,5,SPY
2013-01-22 22:46:00+00:00,13.0,1465.9953672589395,5,SPY
2013-01-29 22:46:00+00:00,25.0,1491.0080466860388,5,SPY
2013-02-05 22:46:00+00:00,5.0,1496.0312488481925,5,SPY
2013-02-12 22:46:00+00:00,11.5,1507.2456644641811,5,SPY
