,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name
163,2019-03-04 14:30:00+00:00,-1521.075047743941,-1499.8984732188724,-1512.5540328912607,0.008824218230838522,0.00013348474823596715,5,True,252,1800,2,0,0 days 00:00:00.674604,DAX
164,2019-03-11 13:30:00+00:00,-1525.9197670419203,-1504.7431925168516,-1517.39875218924,0.008694834328842299,0.00013092823382976002,5,True,252,1800,2,0,0 days 00:00:00.508224,DAX
165,2019-03-18 13:30:00+00:00,-1526.164333229748,-1504.9877587046794,-1517.6433183770678,0.008683116962194403,0.00013079688180267575,5,True,252,1800,2,0,0 days 00:00:00.442025,DAX
166,2019-03-25 13:30:00+00:00,-1522.630930922543,-1501.4543563974744,-1514.1099160698627,0.008783783899260586,0.00013264292816685648,5,True,252,1800,2,0,0 days 00:00:00.392747,DAX
167,2019-04-02 13:30:00+00:00,-1524.0853329537663,-1502.9087584286976,-1515.564318101086,0.008810099157389548,0.00013191582224259796,5,True,252,1800,2,0,0 days 00:00:00.664302,DAX
168,2019-04-09 13:30:00+00:00,-1527.3009477974103,-1506.1243732723417,-1518.77993294473,0.008703299410892828,0.00013023466583345257,5,True,252,1800,2,0,0 days 00:00:00.962243,DAX
169,2019-04-16 13:30:00+00:00,-1529.1591047883853,-1507.9825302633167,-1520.638089935705,0.008638577959413972,0.00012927061158960946,5,True,252,1800,2,0,0 days 00:00:00.339380,DAX
170,2019-04-24 13:30:00+00:00,-1531.4716964815188,-1510.2951219564502,-1522.9506816288385,0.008545333113614344,0.0001280790024124064,5,True,252,1800,2,0,0 days 00:00:00.422149,DAX
171,2019-05-01 13:30:00+00:00,-1533.2122615186295,-1512.0356869935608,-1524.6912466659492,0.008476370333171399,0.00012719598604275713,5,True,252,1800,2,0,0 days 00:00:00.402993,DAX
172,2019-05-08 13:30:00+00:00,-1530.5847095437498,-1509.4081350186812,-1522.0636946910695,0.008548081499560302,0.00012853835494086385,5,True,252,1800,2,0,0 days 00:00:00.161065,DAX
173,2019-05-15 13:30:00+00:00,-1529.619464941456,-1508.4428904163874,-1521.0984500887757,0.00859720243669561,0.00012902267677788995,5,True,252,1800,2,0,0 days 00:00:00.286730,DAX
174,2019-05-23 13:30:00+00:00,-1526.5298758361066,-1505.353301311038,-1518.0088609834263,0.008688979728170437,0.00013061518126410864,5,True,252,1800,2,0,0 days 00:00:00.168200,DAX
175,2019-06-03 13:30:00+00:00,-1488.8347788555036,-1467.658204330435,-1480.3137640028233,0.009140256358921696,0.00015169623304301012,5,True,252,1800,2,0,0 days 00:00:00.516789,DAX
176,2019-06-10 13:30:00+00:00,-1487.4409120220885,-1466.2643374970198,-1478.9198971694082,0.009170050008169256,0.00015262387340277917,5,True,252,1800,2,0,0 days 00:00:00.093741,DAX
177,2019-06-17 13:30:00+00:00,-1496.6742886105267,-1475.497714085458,-1488.1532737578464,0.008970607813382695,0.00014703858893500005,5,True,252,1800,2,0,0 days 00:00:00.090738,DAX
178,2019-06-24 13:30:00+00:00,-1494.810334633644,-1473.6337601085754,-1486.2893197809638,0.008969229957519115,0.00014812748171960465,5,True,252,1800,2,0,0 days 00:00:00.243155,DAX
179,2019-07-01 13:30:00+00:00,-1493.7943142387908,-1472.6177397137221,-1485.2732993861105,0.009008150853669298,0.00014874466664237948,5,True,252,1800,2,0,0 days 00:00:00.440855,DAX
180,2019-07-09 13:30:00+00:00,-1498.2301075167654,-1477.0535329916968,-1489.7090926640851,0.008866004258455861,0.00014614383158107313,5,True,252,1800,2,0,0 days 00:00:00.094542,DAX
181,2019-07-16 13:30:00+00:00,-1499.6856636012462,-1478.5090890761776,-1491.164648748566,0.008817282742078903,0.00014522200409450178,5,True,252,1800,2,0,0 days 00:00:00.468023,DAX
182,2019-07-25 13:30:00+00:00,-1500.2163432088973,-1479.0397686838287,-1491.695328356217,0.00881579362833503,0.0001450325550827902,5,True,252,1800,2,0,0 days 00:00:00.428865,DAX
183,2019-08-01 13:30:00+00:00,-1496.5083912398097,-1475.331816714741,-1487.9873763871294,0.008910798946646146,0.00014714168293543365,5,True,252,1800,2,0,0 days 00:00:00.366029,DAX
184,2019-08-09 13:30:00+00:00,-1488.2462494084866,-1467.069674883418,-1479.7252345558063,0.009090454399578935,0.000152048171972525,5,True,252,1800,2,0,0 days 00:00:00.166169,DAX
185,2019-08-16 13:30:00+00:00,-1480.694643877609,-1459.5180693525404,-1472.1736290249287,0.009250124234481051,0.00015668015698293004,5,True,252,1800,2,0,0 days 00:00:00.637812,DAX
186,2019-08-23 13:30:00+00:00,-1479.0126865657776,-1457.836112040709,-1470.4916717130973,0.009282829596981486,0.000157724355955535,5,True,252,1800,2,0,0 days 00:00:00.146339,DAX
187,2019-08-30 13:30:00+00:00,-1487.0499134546048,-1465.8733389295362,-1478.5288986019245,0.009168280026004668,0.000152773667386736,5,True,252,1800,2,0,0 days 00:00:00.234962,DAX
188,2019-09-11 13:30:00+00:00,-1485.7441896459234,-1464.5676151208547,-1477.223174793243,0.009204570027288082,0.0001535603237741639,5,True,252,1800,2,0,0 days 00:00:00.455404,DAX
189,2019-09-18 13:30:00+00:00,-1485.9043962738483,-1464.7278217487797,-1477.383381421168,0.009202529564537166,0.00015347156891650342,5,True,252,1800,2,0,0 days 00:00:00.368003,DAX
190,2019-09-26 13:30:00+00:00,-1490.4006022170017,-1469.224027691933,-1481.8795873643214,0.009070037618382815,0.0001507496198041359,5,True,252,1800,2,0,0 days 00:00:00.133114,DAX
191,2019-10-03 13:30:00+00:00,-1485.1737337202949,-1463.9971591952262,-1476.6527188676146,0.009138814377369318,0.00015390250548328466,5,True,252,1800,2,0,0 days 00:00:00.579800,DAX
192,2019-10-10 13:30:00+00:00,-1487.607810921008,-1466.4312363959393,-1479.0867960683277,0.009124609575059688,0.0001524205563621228,5,True,252,1800,2,0,0 days 00:00:00.470100,DAX
193,2019-10-17 13:30:00+00:00,-1480.7109103183968,-1459.5343357933282,-1472.1898954657165,0.009265991830644417,0.00015665158500544117,5,True,252,1800,2,0,0 days 00:00:00.109386,DAX
194,2019-10-24 13:30:00+00:00,-1482.8183840647946,-1461.641809539726,-1474.2973692121143,0.009201041545930459,0.00015538495027774606,5,True,252,1800,2,0,0 days 00:00:00.455294,DAX
195,2019-11-04 14:30:00+00:00,-1487.1324310779537,-1465.955856552885,-1478.6114162252734,0.00905509302550569,0.00015273737715861834,5,True,252,1800,2,0,0 days 00:00:00.266406,DAX
196,2019-11-11 14:30:00+00:00,-1494.9656872204337,-1473.789112695365,-1486.4446723677534,0.008894221112863398,0.00014804509707178032,5,True,252,1800,2,0,0 days 00:00:00.115329,DAX
197,2019-11-18 14:30:00+00:00,-1506.234217029994,-1485.0576425049253,-1497.7132021773136,0.008658437049370415,0.00014156292061957894,5,True,252,1800,2,0,0 days 00:00:00.258128,DAX
198,2019-11-25 14:30:00+00:00,-1510.330034225532,-1489.1534597004634,-1501.8090193728517,0.008551320618110507,0.00013931560018432495,5,True,252,1800,2,0,0 days 00:00:00.177207,DAX
199,2019-12-03 14:30:00+00:00,-1512.9534532220375,-1491.7768786969689,-1504.4324383693572,0.008468229500763237,0.00013797002098859065,5,True,252,1800,2,0,0 days 00:00:00.249661,DAX
200,2019-12-10 14:30:00+00:00,-1518.2240264538775,-1497.0474519288089,-1509.7030116011972,0.00836051786829818,0.00013498426833828724,5,True,252,1800,2,0,0 days 00:00:00.134703,DAX
201,2019-12-17 14:30:00+00:00,-1520.1503830959732,-1498.9738085709046,-1511.629368243293,0.008325550583353498,0.00013396468117195663,5,True,252,1800,2,0,0 days 00:00:00.277786,DAX
202,2019-12-26 14:30:00+00:00,-1521.574849279015,-1500.3982747539465,-1513.0538344263348,0.008253714585443626,0.00013333432431708445,5,True,252,1800,2,0,0 days 00:00:00.255872,DAX
203,2020-01-03 14:30:00+00:00,-1529.215450812388,-1508.0388762873195,-1520.6944359597078,0.008222943101157254,0.00012928145115150322,5,True,252,1800,2,0,0 days 00:00:00.212787,DAX
204,2020-01-10 14:30:00+00:00,-1537.1205721440733,-1515.9439976190047,-1528.599557291393,0.008034415322144129,0.00012524639660004184,5,True,252,1800,2,0,0 days 00:00:00.193289,DAX
205,2020-01-17 14:30:00+00:00,-1541.6474122771283,-1520.4708377520597,-1533.126397424448,0.007885744680096247,0.00012300488083174957,5,True,252,1800,2,0,0 days 00:00:00.263202,DAX
206,2020-01-27 14:30:00+00:00,-1538.582815501406,-1517.4062409763374,-1530.0618006487257,0.007918924241033744,0.00012479603388319084,5,True,252,1800,2,0,0 days 00:00:00.446646,DAX
207,2020-02-03 14:30:00+00:00,-1548.1284468388608,-1526.9518723137921,-1539.6074319861805,0.0077964257537841185,0.00011988684993507001,5,True,252,1800,2,0,0 days 00:00:00.532067,DAX
208,2020-02-10 14:30:00+00:00,-1543.4640197028552,-1522.2874451777866,-1534.943004850175,0.007901179650722423,0.00012221099092477202,5,True,252,1800,2,0,0 days 00:00:00.938264,DAX
209,2020-02-18 14:30:00+00:00,-1549.9708217595603,-1528.7942472344916,-1541.44980690688,0.0078121277446342625,0.00011900685460368744,5,True,252,1800,2,0,0 days 00:00:01.065810,DAX
