,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid,ma.L1.resid
32,2005-05-03 22:00:00+00:00,-1203.654797452662,-1189.5370811026164,-1197.9741208842086,0.016936055647857478,0.00047794674568681544,5,True,252,2000,1,1,0 days 00:00:00.133261,CL1,0.5405142014073954,0.5492200713106536
33,2005-05-10 22:00:00+00:00,-1204.4446641782993,-1190.3269478282537,-1198.7639876098458,0.016864937373436112,0.00047643445218784465,5,True,252,2000,1,1,0 days 00:00:00.148561,CL1,0.5255258882554785,0.5309505539579341
34,2005-05-17 22:00:00+00:00,-1205.7862223312727,-1191.668505981227,-1200.1055457628192,0.016748385397162394,0.00047390166789803624,5,True,252,2000,1,1,0 days 00:00:00.131192,CL1,0.5859103411989273,0.5941547921497213
35,2005-05-24 22:00:00+00:00,-1209.4421005549248,-1195.3243842048792,-1203.7614239864713,0.016602199669708544,0.00046709125644448613,5,True,252,2000,1,1,0 days 00:00:00.174879,CL1,0.9993129163937616,1.0297378687198009
36,2005-06-01 22:00:00+00:00,-1208.3656023526564,-1194.2478860026108,-1202.684925784203,0.016656799457946823,0.00046922260944989646,5,True,252,2000,1,1,0 days 00:00:00.235346,CL1,0.14386269428003343,0.17544634375342685
37,2005-06-08 22:00:00+00:00,-1217.2756653937781,-1203.1579490437325,-1211.5949888253247,0.01641253550645962,0.0004527884562585742,5,True,252,2000,1,1,0 days 00:00:00.199151,CL1,0.08480784250718364,0.10464021516805748
38,2005-06-15 22:00:00+00:00,-1219.0856024891832,-1204.9678861391376,-1213.4049259207297,0.016302784574541207,0.00044954242333959297,5,True,252,2000,1,1,0 days 00:00:00.177044,CL1,0.10072382856215452,0.12489234729864804
39,2005-06-22 22:00:00+00:00,-1220.2362475964715,-1206.1185312464258,-1214.555571028018,0.016264852546847185,0.0004475093086230103,5,True,252,2000,1,1,0 days 00:00:00.185554,CL1,0.06645955463356427,0.08400198562384222
40,2005-06-29 22:00:00+00:00,-1216.8623701125307,-1202.744653762485,-1211.1816935440772,0.016348526552496117,0.0004535362377027557,5,True,252,2000,1,1,0 days 00:00:00.288176,CL1,0.01905770425762798,0.01154577333650294
41,2005-07-07 22:00:00+00:00,-1223.5137394661542,-1209.3960231161086,-1217.8330628977008,0.016091957016189377,0.0004416498092811781,5,True,252,2000,1,1,0 days 00:00:00.196137,CL1,0.04575197912783831,0.058973831620669076
42,2005-07-14 22:00:00+00:00,-1223.8843553458082,-1209.7666389957626,-1218.2036787773548,0.01605081679580707,0.0004409472704916307,5,True,252,2000,1,1,0 days 00:00:00.199287,CL1,0.053174794665457305,0.0680701777590486
43,2005-07-21 22:00:00+00:00,-1223.1204515170953,-1209.0027351670497,-1217.4397749486418,0.016097373889071318,0.0004423075367287872,5,True,252,2000,1,1,0 days 00:00:00.186385,CL1,0.049266883818337194,0.06335011754085387
44,2005-07-28 22:00:00+00:00,-1224.3194407028668,-1210.2017243528212,-1218.6387641344133,0.015978513654961817,0.00044023687079832303,5,True,252,2000,1,1,0 days 00:00:00.200350,CL1,0.048485803322405825,0.06256242636286422
45,2005-08-04 22:00:00+00:00,-1224.8660096212084,-1210.7482932711628,-1219.185333052755,0.015954861730275702,0.0004393582130535901,5,True,252,2000,1,1,0 days 00:00:00.176797,CL1,0.04843075702677529,0.0613280187842099
46,2005-08-11 22:00:00+00:00,-1223.9630497824783,-1209.8453334324327,-1218.2823732140248,0.016061084827354785,0.0004409100595290149,5,True,252,2000,1,1,0 days 00:00:00.224610,CL1,0.059376398711646794,0.07264822429060357
47,2005-08-18 22:00:00+00:00,-1218.7341887890802,-1204.6164724390346,-1213.0535122206268,0.016170689173266636,0.0004501746015420624,5,True,252,2000,1,1,0 days 00:00:00.170460,CL1,0.06006284962111803,0.07217729650248884
48,2005-08-25 22:00:00+00:00,-1221.7771791345876,-1207.659462784542,-1216.0965025661342,0.01605485984072814,0.00044475717584638075,5,True,252,2000,1,1,0 days 00:00:00.188108,CL1,0.060466067662427764,0.07327627346016757
49,2005-09-01 22:00:00+00:00,-1222.664310349323,-1208.5465939992773,-1216.9836337808695,0.01601843077124372,0.00044318540520761705,5,True,252,2000,1,1,0 days 00:00:00.146821,CL1,0.0526347159617228,0.0640856686176228
50,2005-09-11 22:00:00+00:00,-1222.0384592463633,-1207.9207428963177,-1216.3577826779099,0.016064526987338394,0.00044436369492105145,5,True,252,2000,1,1,0 days 00:00:00.170205,CL1,0.052105632506953325,0.06243857673389583
51,2005-09-18 22:00:00+00:00,-1216.0027272486846,-1201.885010898639,-1210.322050680231,0.016162564065203198,0.0004552323297525533,5,True,252,2000,1,1,0 days 00:00:00.244808,CL1,0.02009185249594291,0.011623464850928689
52,2005-09-25 22:00:00+00:00,-1221.2349656406145,-1207.117249290569,-1215.554289072161,0.015973999074685913,0.00044567003266112576,5,True,252,2000,1,1,0 days 00:00:00.184373,CL1,0.058614201854802435,0.07002723779106548
53,2005-10-02 22:00:00+00:00,-1220.5353382360172,-1206.4176218859716,-1214.8546616675637,0.016007847068469645,0.0004469155702314907,5,True,252,2000,1,1,0 days 00:00:00.179207,CL1,0.06042137077218587,0.07293888623923862
54,2005-10-09 22:00:00+00:00,-1219.299783543635,-1205.1820671935893,-1213.6191069751815,0.01606579385197163,0.0004491359562278282,5,True,252,2000,1,1,0 days 00:00:00.163113,CL1,0.060567893869394526,0.07246257826615447
55,2005-10-16 22:00:00+00:00,-1219.5617937177035,-1205.4440773676579,-1213.88111714925,0.01605099346035634,0.0004487115630226877,5,True,252,2000,1,1,0 days 00:00:00.186192,CL1,0.05953738226786467,0.07135994249224374
56,2005-10-23 22:00:00+00:00,-1221.981264266647,-1207.8635479166014,-1216.3005876981936,0.01601466035995409,0.00044442894913062465,5,True,252,2000,1,1,0 days 00:00:00.178994,CL1,0.059071698862709694,0.07176547771684233
57,2005-10-30 23:00:00+00:00,-1223.71485586775,-1209.5971395177044,-1218.0341792992965,0.015969291451004033,0.00044139969130928676,5,True,252,2000,1,1,0 days 00:00:00.204399,CL1,0.06374867306922295,0.07769383515353005
