time,asofdate,pointForecast,resid,forecastday,product_name,MA_50,MA_diff_50
1993-06-17 22:00:00+00:00,1993-06-17 22:00:00+00:00,1.0462848758197691,1.1102097360413496,3,NG1,1.086473893809111,0.0016438307125026252
1993-06-20 22:00:00+00:00,1993-06-20 22:00:00+00:00,1.0462290935454697,1.0818199536221929,4,NG1,1.0868719640980917,0.00039807028898075636
1993-06-21 22:00:00+00:00,1993-06-21 22:00:00+00:00,1.046183284405477,1.0320319136553353,5,NG1,1.0851416852321294,-0.0017302788659623314
1993-06-22 22:00:00+00:00,1993-06-22 22:00:00+00:00,1.0318844900296706,1.0358874493043402,1,NG1,1.083836689103383,-0.0013049961287463496
1993-06-23 22:00:00+00:00,1993-06-23 22:00:00+00:00,1.0328880868826522,1.0746676937800954,2,NG1,1.0829242749753798,-0.0009124141280032472
1993-06-24 22:00:00+00:00,1993-06-24 22:00:00+00:00,1.0320132979091894,1.0672522239654023,3,NG1,1.0819141413420832,-0.001010133633296606
1993-06-27 22:00:00+00:00,1993-06-27 22:00:00+00:00,1.0327757219501852,1.0998376999794248,4,NG1,1.0814504649242511,-0.0004636764178320707
1993-06-28 22:00:00+00:00,1993-06-28 22:00:00+00:00,1.0321111621303345,1.0831972172568065,5,NG1,1.0805823800972296,-0.000868084827021498
1993-06-29 22:00:00+00:00,1993-06-29 22:00:00+00:00,1.0823561277630636,1.0924679449944643,1,NG1,1.0793720340709476,-0.0012103460262820054
1993-06-30 22:00:00+00:00,1993-06-30 22:00:00+00:00,1.0823852110305354,1.0679267376629575,2,NG1,1.0760804577715788,-0.003291576299368826
1993-07-01 22:00:00+00:00,1993-07-01 22:00:00+00:00,1.082413497376304,1.0590710394586638,3,NG1,1.0715922379302225,-0.004488219841356278
1993-07-05 22:00:00+00:00,1993-07-05 22:00:00+00:00,1.082441008617128,1.073328065098115,4,NG1,1.069223128216496,-0.0023691097137266137
1993-07-06 22:00:00+00:00,1993-07-06 22:00:00+00:00,1.0824677659735864,1.0799367732706746,5,NG1,1.0686394218485276,-0.0005837063679683396
1993-07-07 22:00:00+00:00,1993-07-07 22:00:00+00:00,1.0800097139921252,1.0643314315632997,1,NG1,1.0679488047629018,-0.0006906170856257887
1993-07-08 22:00:00+00:00,1993-07-08 22:00:00+00:00,1.0800642565038991,1.0689931768803071,2,NG1,1.0670766633276847,-0.0008721414352170775
1993-07-11 22:00:00+00:00,1993-07-11 22:00:00+00:00,1.0801087989701563,1.0301144135652165,3,NG1,1.0651068886235209,-0.001969774704163818
1993-07-12 22:00:00+00:00,1993-07-12 22:00:00+00:00,1.0801451745338533,1.034530795106413,4,NG1,1.0632462766092754,-0.0018606120142454774
1993-07-13 22:00:00+00:00,1993-07-13 22:00:00+00:00,1.0801748804001048,1.0085050650732394,5,NG1,1.0614654558147096,-0.0017808207945657628
1993-07-14 22:00:00+00:00,1993-07-14 22:00:00+00:00,1.0043944230788577,1.005053415562282,1,NG1,1.0591470415591535,-0.0023184142555561227
1993-07-15 22:00:00+00:00,1993-07-15 22:00:00+00:00,1.0124214788807149,1.0225547528314107,2,NG1,1.0581277141495515,-0.0010193274096019778
1993-07-18 22:00:00+00:00,1993-07-18 22:00:00+00:00,1.0045478197238236,0.9971765640955264,3,NG1,1.0569627077694213,-0.0011650063801302846
1993-07-19 22:00:00+00:00,1993-07-19 22:00:00+00:00,1.0122698456309234,1.001387540569014,4,NG1,1.056108754438074,-0.0008539533313471903
1993-07-20 22:00:00+00:00,1993-07-20 22:00:00+00:00,1.004695409184283,1.027943626943273,5,NG1,1.0567054157220244,0.000596661283950306
1993-07-21 22:00:00+00:00,1993-07-21 22:00:00+00:00,1.0311911364884931,1.0295855993445326,1,NG1,1.0565289944506298,-0.00017642127139461117
1993-07-22 22:00:00+00:00,1993-07-22 22:00:00+00:00,1.024745450020748,1.012974955680653,2,NG1,1.0554563276925895,-0.001072666758040297
1993-07-25 22:00:00+00:00,1993-07-25 22:00:00+00:00,1.0305787674980815,1.0311376023099492,3,NG1,1.054285762148499,-0.0011705655440905627
1993-07-26 22:00:00+00:00,1993-07-26 22:00:00+00:00,1.025296652716617,1.0159091958549629,4,NG1,1.0528013493970698,-0.0014844127514290761
1993-07-27 22:00:00+00:00,1993-07-27 22:00:00+00:00,1.030077199751785,1.0328004712555117,5,NG1,1.0512684870093199,-0.001532862387749967
1993-07-28 22:00:00+00:00,1993-07-28 22:00:00+00:00,1.032230866318765,1.0476836023180185,1,NG1,1.0495383645565697,-0.0017301224527501713
1993-07-29 22:00:00+00:00,1993-07-29 22:00:00+00:00,1.0322918135607917,1.070373175194205,2,NG1,1.0485281060931082,-0.0010102584634614775
1993-08-01 22:00:00+00:00,1993-08-01 22:00:00+00:00,1.032341709995842,1.0762696366736657,3,NG1,1.0477457008535087,-0.0007824052395994929
1993-08-02 22:00:00+00:00,1993-08-02 22:00:00+00:00,1.0323825589318443,1.0610494465493194,4,NG1,1.0484003085000098,0.0006546076465010486
1993-08-03 22:00:00+00:00,1993-08-03 22:00:00+00:00,1.032416000645066,1.062088564239245,5,NG1,1.0499820079969546,0.0015816994969448661
1993-08-04 22:00:00+00:00,1993-08-04 22:00:00+00:00,1.060963005120795,1.0625476624883086,1,NG1,1.0509692614013382,0.000987253404383548
1993-08-05 22:00:00+00:00,1993-08-05 22:00:00+00:00,1.0611342571173816,1.0482235843417214,2,NG1,1.051443348523391,0.0004740871220527687
1993-08-08 22:00:00+00:00,1993-08-08 22:00:00+00:00,1.0612751263661155,1.0173735678247786,3,NG1,1.0512058833382156,-0.0002374651851753118
1993-08-09 22:00:00+00:00,1993-08-09 22:00:00+00:00,1.0613910002099314,1.0228676407719597,4,NG1,1.05065674272407,-0.0005491406141455712
1993-08-10 22:00:00+00:00,1993-08-10 22:00:00+00:00,1.0614863117095377,1.0337634341255078,5,NG1,1.0499985199287203,-0.0006582227953497721
1993-08-11 22:00:00+00:00,1993-08-11 22:00:00+00:00,1.0339241701985005,1.050044335190263,1,NG1,1.0502399921961236,0.00024147226740334204
1993-08-12 22:00:00+00:00,1993-08-12 22:00:00+00:00,1.0338647931554665,1.0367197810166475,2,NG1,1.0501008289098797,-0.00013916328624397067
1993-08-15 22:00:00+00:00,1993-08-15 22:00:00+00:00,1.0338162989632158,1.0531119774786015,3,NG1,1.0501999849209682,9.915601108856364e-05
1993-08-16 22:00:00+00:00,1993-08-16 22:00:00+00:00,1.0337766925927587,1.0614606146086178,4,NG1,1.0511610636700288,0.0009610787490605954
1993-08-17 22:00:00+00:00,1993-08-17 22:00:00+00:00,1.0337443448670662,1.0913517196259548,5,NG1,1.0519653354880243,0.0008042718179954722
1993-08-18 22:00:00+00:00,1993-08-18 22:00:00+00:00,1.0892082659488493,1.0817413819046109,1,NG1,1.0523494677315028,0.0003841322434785521
1993-08-19 22:00:00+00:00,1993-08-19 22:00:00+00:00,1.0896636820858079,1.106770822308053,2,NG1,1.0535378532069184,0.0011883854754155543
1993-08-22 22:00:00+00:00,1993-08-22 22:00:00+00:00,1.0900294417846503,1.0877372951692883,3,NG1,1.0539546766176664,0.0004168234107480018
1993-08-23 22:00:00+00:00,1993-08-23 22:00:00+00:00,1.0903231736212309,1.0664630963388415,4,NG1,1.0538647630135167,-8.991360414967176e-05
1993-08-24 22:00:00+00:00,1993-08-24 22:00:00+00:00,1.0905590477374083,1.0626711093520291,5,NG1,1.0542080182944569,0.0003432552809401468
1993-08-25 22:00:00+00:00,1993-08-25 22:00:00+00:00,1.0563509889631615,1.0884705128774974,1,NG1,1.0546402079211183,0.0004321896266614722
1993-08-26 22:00:00+00:00,1993-08-26 22:00:00+00:00,1.0686077461862078,1.097620092754544,2,NG1,1.054540722157542,-9.948576357632355e-05
1993-08-29 22:00:00+00:00,1993-08-29 22:00:00+00:00,1.0572467278722721,1.0722891257684286,3,NG1,1.0537823099520833,-0.0007584122054586917
1993-08-30 22:00:00+00:00,1993-08-30 22:00:00+00:00,1.06776887574309,1.046472260898768,4,NG1,1.053075356097615,-0.0007069538544683951
1993-08-31 22:00:00+00:00,1993-08-31 22:00:00+00:00,1.0580162824351929,1.04267882980742,5,NG1,1.0532882944206567,0.00021293832304181137
1993-09-01 22:00:00+00:00,1993-09-01 22:00:00+00:00,1.0480099224780453,1.0613482316400225,1,NG1,1.0537975100673702,0.0005092156467134679
1993-09-02 22:00:00+00:00,1993-09-02 22:00:00+00:00,1.037203086225626,1.0584424293513566,2,NG1,1.0534730047787955,-0.00032450528857475014
1993-09-06 22:00:00+00:00,1993-09-06 22:00:00+00:00,1.0472053293414836,1.003469379098539,3,NG1,1.0521973478814584,-0.0012756568973371074
1993-09-07 22:00:00+00:00,1993-09-07 22:00:00+00:00,1.0379409255695948,1.000217271559888,4,NG1,1.0502049393130675,-0.001992408568390891
1993-09-08 22:00:00+00:00,1993-09-08 22:00:00+00:00,1.0465160451065787,0.9721855924074726,5,NG1,1.0479847068160808,-0.0022202324969866627
1993-09-09 22:00:00+00:00,1993-09-09 22:00:00+00:00,0.9748414398240832,0.940016996871518,1,NG1,1.0449356878536218,-0.003049018962459016
1993-09-12 22:00:00+00:00,1993-09-12 22:00:00+00:00,0.9743385295541225,0.9348699588991009,2,NG1,1.0422745522783448,-0.0026611355752770294
1993-09-13 22:00:00+00:00,1993-09-13 22:00:00+00:00,0.9739175882823494,0.919313891280013,3,NG1,1.0394794093147717,-0.002795142963573083
1993-09-14 22:00:00+00:00,1993-09-14 22:00:00+00:00,0.973565228778922,0.9027499776625928,4,NG1,1.0360678475660612,-0.00341156174871049
1993-09-15 22:00:00+00:00,1993-09-15 22:00:00+00:00,0.9732702583343535,0.8845554100647075,5,NG1,1.032160220301942,-0.003907627264119196
1993-09-16 22:00:00+00:00,1993-09-16 22:00:00+00:00,0.8866802313235139,0.9207337493176668,1,NG1,1.0292882666570293,-0.0028719536449126615
1993-09-19 22:00:00+00:00,1993-09-19 22:00:00+00:00,0.8807682613934198,0.9264302779115317,2,NG1,1.026437008677654,-0.0028512579793753545
1993-09-20 22:00:00+00:00,1993-09-20 22:00:00+00:00,0.8862046757918682,0.9393818491505892,3,NG1,1.0246223573893611,-0.0018146512882928345
1993-09-21 22:00:00+00:00,1993-09-21 22:00:00+00:00,0.8812029882499919,0.8968870588249931,4,NG1,1.0218694826637327,-0.0027528747256284625
1993-09-22 22:00:00+00:00,1993-09-22 22:00:00+00:00,0.8858025331787979,0.938391429035778,5,NG1,1.0204672099429835,-0.0014022727207492203
1993-09-23 22:00:00+00:00,1993-09-23 22:00:00+00:00,0.9371153720789502,0.9456769387617086,1,NG1,1.0192796804069721,-0.0011875295360113114
1993-09-26 22:00:00+00:00,1993-09-26 22:00:00+00:00,0.9371444180325526,0.9448592666906066,2,NG1,1.017725770684156,-0.0015539097228161047
1993-09-27 22:00:00+00:00,1993-09-27 22:00:00+00:00,0.9371677563542653,0.9669102072159028,3,NG1,1.0171204435465635,-0.0006053271375925373
1993-09-28 22:00:00+00:00,1993-09-28 22:00:00+00:00,0.9371865085107994,0.9708856753499548,4,NG1,1.0165104062421824,-0.0006100373043811391
