,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ma.L1.close
218,2018-09-08 00:00:00+00:00,-827.2042689685226,-813.0865526184768,-821.523592400069,0.03404956310333215,0.0021288932147784266,5,True,252,2500,1,1,0 days 00:00:00.139965,BTC,0.45623512398829186,0.46021047973451074
219,2018-09-13 00:00:00+00:00,-834.4711664286355,-820.3534500785897,-828.7904898601819,0.0334209963024044,0.0020684643991998467,5,True,252,2500,1,1,0 days 00:00:00.218013,BTC,0.5276477814328817,0.5323502175967315
220,2018-09-18 00:00:00+00:00,-845.3035818472891,-831.1858654972434,-839.6229052788356,0.03247633368900291,0.001981286767404379,5,True,252,2500,1,1,0 days 00:00:00.130606,BTC,0.43811174867662883,0.4425784498376473
221,2018-09-23 00:00:00+00:00,-852.0120393581386,-837.8943230080929,-846.331362789685,0.031806310070005055,0.0019292445594199454,5,True,252,2500,1,1,0 days 00:00:00.142620,BTC,0.5441151754816222,0.5497594121918193
222,2018-09-28 00:00:00+00:00,-865.6083504871293,-851.4906341370836,-859.9276739186757,0.03111206721013758,0.001828139972045518,5,True,252,2500,1,1,0 days 00:00:00.153009,BTC,0.4589156495046786,0.4652604259918294
223,2018-10-03 00:00:00+00:00,-881.3014871101226,-867.1837707600769,-875.620810541669,0.029926549354325274,0.0017175280587805556,5,True,252,2500,1,1,0 days 00:00:00.146060,BTC,0.43797295880757375,0.44642742151750553
224,2018-10-08 00:00:00+00:00,-882.9576282111435,-868.8399118610978,-877.2769516426899,0.029655431707703208,0.0017065649011167754,5,True,252,2500,1,1,0 days 00:00:00.159447,BTC,0.39799061391173857,0.4074461464799307
225,2018-10-13 00:00:00+00:00,-896.8758793930707,-882.758163043025,-891.1952028246171,0.028750354509220317,0.0016150635423839248,5,True,252,2500,1,1,0 days 00:00:00.237930,BTC,0.4379617399581541,0.45466610487798576
226,2018-10-18 00:00:00+00:00,-937.5688863380211,-923.4511699879754,-931.8882097695675,0.027007012302058122,0.001373912221503336,5,True,252,2500,1,1,0 days 00:00:00.150077,BTC,0.2850436042008633,0.2939243159942525
227,2018-10-23 00:00:00+00:00,-947.8590295803436,-933.7413132302979,-942.1783530118901,0.026226912986728423,0.0013189281383948694,5,True,252,2500,1,1,0 days 00:00:00.137963,BTC,0.4445763338867998,0.4537743046939994
228,2018-10-28 00:00:00+00:00,-970.8913135995907,-956.773597249545,-965.2106370311371,0.024855272944507675,0.001203756245431503,5,True,252,2500,1,1,0 days 00:00:00.153962,BTC,0.5482574891831177,0.5753318009272658
229,2018-11-02 00:00:00+00:00,-983.5604621610029,-969.4427458109571,-977.8797855925493,0.02401202333240531,0.0011446879545489114,5,True,252,2500,1,1,0 days 00:00:00.154283,BTC,0.3772774297083333,0.3965275119007388
230,2018-11-07 00:00:00+00:00,-991.0274747234438,-976.9097583733981,-985.3467981549902,0.023442731986989488,0.001111301757246665,5,True,252,2500,1,1,0 days 00:00:00.147335,BTC,0.3250161882457461,0.34351612603468284
231,2018-11-12 00:00:00+00:00,-993.956549708735,-979.8388333586893,-988.2758731402814,0.02331656035028266,0.001098440759008431,5,True,252,2500,1,1,0 days 00:00:00.255975,BTC,0.2929541086002774,0.30336121324056686
232,2018-11-17 00:00:00+00:00,-998.4663264163086,-984.3486100662628,-992.785649847855,0.022593117847209243,0.0010790989308377989,5,True,252,2500,1,1,0 days 00:00:00.151798,BTC,0.3322555777629092,0.3439644964588641
233,2018-11-22 00:00:00+00:00,-980.8355163131654,-966.7177999631197,-975.1548397447118,0.02321224908101663,0.001157107854280862,5,True,252,2500,1,1,0 days 00:00:00.156117,BTC,0.6217265933675734,0.6270288991741862
234,2018-11-27 00:00:00+00:00,-972.6459642219767,-958.528247871931,-966.9652876535231,0.023388676681363726,0.0011952868417841951,5,True,252,2500,1,1,0 days 00:00:00.160389,BTC,0.31231812037251916,0.32513585522112015
235,2018-12-02 00:00:00+00:00,-957.5244090440025,-943.4066926939568,-951.8437324755489,0.02418394748206978,0.0012692758100884066,5,True,252,2500,1,1,0 days 00:00:00.204578,BTC,0.18323302416494336,0.19061641772372398
236,2018-12-07 00:00:00+00:00,-961.506184029762,-947.3884676797163,-955.8255074613085,0.02383771866886533,0.0012493440364755005,5,True,252,2500,1,1,0 days 00:00:00.129019,BTC,0.5003580517631473,0.5078120578215418
237,2018-12-12 00:00:00+00:00,-968.1707105168631,-954.0529941668174,-962.4900339484095,0.023523326879215403,0.0012167382411766817,5,True,252,2500,1,1,0 days 00:00:00.153024,BTC,0.5629877520000539,0.5703829748289472
238,2018-12-17 00:00:00+00:00,-962.3446638442166,-948.2269474941709,-956.663987275763,0.0238234676912629,0.0012454257686599062,5,True,252,2500,1,1,0 days 00:00:00.221957,BTC,0.04189613733099657,0.04944285726273648
239,2018-12-22 00:00:00+00:00,-963.2910228178138,-949.173306467768,-957.6103462493602,0.023921581944187257,0.0012405595483747183,5,True,252,2500,1,1,0 days 00:00:00.155027,BTC,0.40186524499645265,0.40855054868968604
240,2018-12-27 00:00:00+00:00,-961.9318486227158,-947.8141322726701,-956.2511720542623,0.023891243009830324,0.001247377247193909,5,True,252,2500,1,1,0 days 00:00:00.152887,BTC,0.4119371812611277,0.4292515095158289
241,2019-01-01 00:00:00+00:00,-964.3637068359113,-950.2459904858656,-958.6830302674578,0.02376727752347743,0.0012356866972913834,5,True,252,2500,1,1,0 days 00:00:00.209518,BTC,0.1428032008246269,0.17309779826893873
242,2019-01-06 00:00:00+00:00,-968.3879548418141,-954.2702384917684,-962.7072782733605,0.023520543599118367,0.0012156494748675971,5,True,252,2500,1,1,0 days 00:00:00.135994,BTC,0.40338806043455,0.4305976391017938
243,2019-01-11 00:00:00+00:00,-964.4609702529887,-950.3432539029429,-958.7802936845351,0.02362917567990519,0.0012347465517259621,5,True,252,2500,1,1,0 days 00:00:00.218001,BTC,0.3611290400009747,0.3795276592112573
244,2019-01-16 00:00:00+00:00,-963.3326471713971,-949.2149308213513,-957.6519706029435,0.023640467146383782,0.0012403400225738893,5,True,252,2500,1,1,0 days 00:00:00.145036,BTC,0.3259779480086861,0.3406767245682032
245,2019-01-21 00:00:00+00:00,-967.0686257084309,-952.9509093583852,-961.3879491399773,0.023351277310748972,0.0012220304669952992,5,True,252,2500,1,1,0 days 00:00:00.147073,BTC,0.2885310190125562,0.3014195769488621
246,2019-01-26 00:00:00+00:00,-968.4404739897208,-954.322757639675,-962.7597974212672,0.023074042646134094,0.0012154507917532748,5,True,252,2500,1,1,0 days 00:00:00.154534,BTC,0.2891036041258789,0.3007088258427564
247,2019-01-31 00:00:00+00:00,-974.0888144176337,-959.971098067588,-968.4081378491801,0.02260728474749805,0.0011884429261413178,5,True,252,2500,1,1,0 days 00:00:00.120000,BTC,0.27611466667809514,0.2876603784951595
248,2019-02-05 00:00:00+00:00,-976.5795166485278,-962.4618002984821,-970.8988400800743,0.022379046810678017,0.0011767552422773206,5,True,252,2500,1,1,0 days 00:00:00.143311,BTC,0.28896131709316547,0.3001700367796176
249,2019-02-10 00:00:00+00:00,-971.7874579389994,-957.6697415889537,-966.1067813705458,0.022552999680914124,0.0011993802400689048,5,True,252,2500,1,1,0 days 00:00:00.172451,BTC,0.29959204303605697,0.3109361316554543
250,2019-02-15 00:00:00+00:00,-972.5899212121006,-958.4722048620549,-966.9092446436471,0.022373050269735788,0.0011956007197356836,5,True,252,2500,1,1,0 days 00:00:00.151710,BTC,0.29805695168723073,0.30888251762733787
251,2019-02-20 00:00:00+00:00,-979.879225851755,-965.7615095017093,-974.1985492833014,0.021896151288403942,0.0011615907306258442,5,True,252,2500,1,1,0 days 00:00:00.166607,BTC,0.34719167517519733,0.36534213325086845
252,2019-02-25 00:00:00+00:00,-975.630522524972,-961.5128061749263,-969.9498459565184,0.02203923594328155,0.0011811942347064446,5,True,252,2500,1,1,0 days 00:00:00.127687,BTC,0.33033882598143566,0.3446073448399517
253,2019-03-02 00:00:00+00:00,-984.5692057066009,-970.4514893565552,-978.8885291381473,0.021572134416619263,0.0011400353263771481,5,True,252,2500,1,1,0 days 00:00:00.142540,BTC,0.3076930992313643,0.3189858177800459
254,2019-03-07 00:00:00+00:00,-984.9101626394428,-970.792446289397,-979.2294860709892,0.02150558151327237,0.0011386491128074446,5,True,252,2500,1,1,0 days 00:00:00.149992,BTC,0.34173008695246604,0.3540182448416526
255,2019-03-12 00:00:00+00:00,-990.3118522661044,-976.1941359160587,-984.6311756976509,0.02108790593635831,0.001114364750418143,5,True,252,2500,1,1,0 days 00:00:00.166467,BTC,0.3485728364776134,0.361553181566346
256,2019-03-17 00:00:00+00:00,-990.4698082237377,-976.352091873692,-984.7891316552841,0.021024347677766054,0.0011136731137280052,5,True,252,2500,1,1,0 days 00:00:00.195043,BTC,0.3538749869633894,0.3666163585221481
257,2019-03-22 00:00:00+00:00,-993.1927567831655,-979.0750404331197,-987.5120802147119,0.020787167683252058,0.0011016981029786058,5,True,252,2500,1,1,0 days 00:00:00.100999,BTC,0.35997876758702313,0.3726670166322319
258,2019-03-27 00:00:00+00:00,-1004.0811890202186,-989.9634726701729,-998.400512451765,0.020273933532393464,0.0010550956388844473,5,True,252,2500,1,1,0 days 00:00:00.149012,BTC,0.3047140413787157,0.3144342854256447
259,2019-04-01 00:00:00+00:00,-1006.9212816303169,-992.8035652802712,-1001.2406050618633,0.020101552132831563,0.0010437970584128303,5,True,252,2500,1,1,0 days 00:00:00.146019,BTC,0.272906146034999,0.2817898183419734
260,2019-04-06 00:00:00+00:00,-985.855878868044,-971.7381625179983,-980.1752022995904,0.020348088529476886,0.001134233561835997,5,True,252,2500,1,1,0 days 00:00:00.131994,BTC,0.3477772722023537,0.35940335893050135
261,2019-04-11 00:00:00+00:00,-984.8146109498665,-970.6968945998208,-979.1339343814129,0.02052674624806719,0.0011389444493916283,5,True,252,2500,1,1,0 days 00:00:00.121965,BTC,0.3114000377372352,0.321339365336202
262,2019-04-16 00:00:00+00:00,-987.8061297293806,-973.6884133793349,-982.125453160927,0.020288677039218824,0.0011257816940556343,5,True,252,2500,1,1,0 days 00:00:00.167005,BTC,0.281064409652856,0.29174467661431003
