,asofdate,pnl,strategy,positionType
360,2014-08-19 13:30:00+00:00,0.19989999999999952,arma_threshold_ma,short
365,2014-08-26 13:30:00+00:00,0.5921000000000003,arma_threshold_ma,short
370,2014-09-03 13:30:00+00:00,0.0,arma_threshold_ma,no_position
375,2014-09-10 13:30:00+00:00,-0.0600000000000005,arma_threshold_ma,short
380,2014-09-17 13:30:00+00:00,0.48799999999999955,arma_threshold_ma,short
385,2014-09-24 13:30:00+00:00,0.33000000000000007,arma_threshold_ma,short
390,2014-10-01 13:30:00+00:00,0.0,arma_threshold_ma,no_position
395,2014-10-08 13:30:00+00:00,0.0,arma_threshold_ma,no_position
400,2014-10-16 13:30:00+00:00,-0.3824999999999985,arma_threshold_ma,short
405,2014-10-24 13:30:00+00:00,0.125,arma_threshold_ma,short
410,2014-11-03 14:30:00+00:00,0.10199999999999854,arma_threshold_ma,short
415,2014-11-10 14:30:00+00:00,-0.08199999999999896,arma_threshold_ma,short
420,2014-11-17 14:30:00+00:00,0.0,arma_threshold_ma,no_position
425,2014-11-24 14:30:00+00:00,0.0,arma_threshold_ma,no_position
430,2014-12-02 14:30:00+00:00,-0.10999999999999943,arma_threshold_ma,short
435,2014-12-09 14:30:00+00:00,0.41000000000000014,arma_threshold_ma,short
440,2014-12-16 14:30:00+00:00,-0.040000000000000924,arma_threshold_ma,short
445,2014-12-23 14:30:00+00:00,0.0,arma_threshold_ma,no_position
450,2014-12-31 14:30:00+00:00,-0.25,arma_threshold_ma,short
455,2015-01-08 14:30:00+00:00,0.32010000000000005,arma_threshold_ma,short
460,2015-01-15 14:30:00+00:00,0.0,arma_threshold_ma,no_position
465,2015-01-26 14:30:00+00:00,0.0,arma_threshold_ma,no_position
470,2015-02-02 14:30:00+00:00,-0.22999999999999865,arma_threshold_ma,short
475,2015-02-09 14:30:00+00:00,0.8780000000000001,arma_threshold_ma,short
480,2015-02-17 14:30:00+00:00,0.06189999999999962,arma_threshold_ma,short
485,2015-02-25 14:30:00+00:00,-0.23990000000000045,arma_threshold_ma,short
490,2015-03-04 14:30:00+00:00,0.43040000000000056,arma_threshold_ma,short
