,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ar.L2.close,ma.L1.close
2074,2011-04-25 00:00:00+00:00,-1266.9688549837601,-1249.321709546203,-1259.8680092731931,0.014362266512381457,0.0003696531627819448,0.9776100537841362,5,True,252,13000,2,1,0 days 00:00:00.519761,corn,0.06257863076299348,0.06271448950252652,0.011981149911601948
2075,2011-05-02 00:00:00+00:00,-1265.532946850004,-1247.8858014124469,-1258.432101139437,0.014409903598695506,0.0003709111067974153,0.9930436884627335,5,True,252,13000,2,1,0 days 00:00:00.263161,corn,0.7383822742944689,0.078431585185926,0.7403937580255483
2076,2011-05-09 00:00:00+00:00,-1271.4892517076833,-1253.8421062701261,-1264.3884059971163,0.014136401973671584,0.00036226189792000816,0.9922757307651461,5,True,252,13000,2,1,0 days 00:00:00.319631,corn,0.8736011656971012,0.07262671263264063,0.8790003347597493
2077,2011-05-16 00:00:00+00:00,-1272.107414187014,-1254.4602687494569,-1265.006568476447,0.014220586728204693,0.00036143655067899706,0.9893296967054572,5,True,252,13000,2,1,0 days 00:00:00.225140,corn,0.45853609402755874,0.06892098361899213,0.45798802551428897
2078,2011-05-23 00:00:00+00:00,-1275.4175953095937,-1257.7704498720366,-1268.3167495990267,0.014098102903909362,0.0003571626524352133,0.9692468481923482,5,True,252,13000,2,1,0 days 00:00:00.463070,corn,0.06321245643000532,0.06328898435295034,0.012335517003145823
2079,2011-05-31 00:00:00+00:00,-1273.1247433303497,-1255.4775978927926,-1266.0238976197827,0.014150622732378576,0.00036046588179771804,0.9703720664062873,5,True,252,13000,2,1,0 days 00:00:00.441170,corn,0.06230605789448803,0.06272227544767685,0.011334963038713926
2080,2011-06-07 00:00:00+00:00,-1264.489411371631,-1246.8422659340738,-1257.388565661064,0.014301572388645722,0.0003725049220978515,0.9952140748210924,5,True,252,13000,2,1,0 days 00:00:00.257652,corn,0.9874590710408839,0.11345134841945656,0.9859764059405474
2081,2011-06-14 00:00:00+00:00,-1277.3483599803421,-1259.701214542785,-1270.2475142697751,0.014008494730548986,0.000354708813167331,0.9758304832354578,5,True,252,13000,2,1,0 days 00:00:00.506037,corn,0.06316322246901862,0.06325707481612532,0.011281550863076452
2082,2011-06-21 00:00:00+00:00,-1269.1720889891408,-1251.5249435515836,-1262.0712432785738,0.014142321953076974,0.00036565282385198506,0.9996523144852296,5,True,252,13000,2,1,0 days 00:00:00.465905,corn,0.13797310792460313,0.06699588648498249,0.12237938498451575
2083,2011-06-28 00:00:00+00:00,-1267.9625622617568,-1250.3154168241997,-1260.8617165511898,0.014197130760419318,0.0003679439398470661,0.9681409083798815,5,True,252,13000,2,1,0 days 00:00:00.632668,corn,0.062453330640043964,0.06268235977874556,0.011154797976215994
2084,2011-07-06 00:00:00+00:00,-1265.7675463958872,-1248.12040095833,-1258.6667006853202,0.014233104110349759,0.00037056536090603363,0.9830024358420869,5,True,252,13000,2,1,0 days 00:00:00.622786,corn,0.4866985323799818,0.07517819560969945,0.4859004804512437
2085,2011-07-13 00:00:00+00:00,-1257.7151594106954,-1240.0680139731382,-1250.6143137001284,0.014449759442871414,0.0003825981523628227,0.9901071322990748,5,True,252,13000,2,1,0 days 00:00:00.261428,corn,0.4613117239816267,0.0642592211668944,0.4596968377968649
2086,2011-07-20 00:00:00+00:00,-1250.7617764269721,-1233.114630989415,-1243.6609307164051,0.01465227046684246,0.0003933110583675246,0.9916803369137792,5,True,252,13000,2,1,0 days 00:00:00.619028,corn,0.06318564881808168,0.06312931109904417,0.038025337081671155
2087,2011-07-27 00:00:00+00:00,-1249.161124004202,-1231.513978566645,-1242.060278293635,0.014734065660403636,0.0003958172015160193,0.9892626744572487,5,True,252,13000,2,1,0 days 00:00:00.257285,corn,0.5848504053190741,0.070878435736022,0.5828950873515981
2088,2011-08-03 00:00:00+00:00,-1253.005608457152,-1235.3584630195949,-1245.904762746585,0.014610090983493742,0.00038982619341099253,0.9912318191304512,5,True,252,13000,2,1,0 days 00:00:00.250596,corn,0.7231421059236184,0.07493412392299437,0.7213339724426417
2089,2011-08-10 00:00:00+00:00,-1253.3091091344395,-1235.6619636968824,-1246.2082634238725,0.01464415975055206,0.0003893744644121341,0.9911399739838859,5,True,252,13000,2,1,0 days 00:00:00.239002,corn,0.6675232942964332,0.07294874323631081,0.6656110002574603
2090,2011-08-17 00:00:00+00:00,-1253.6003905244274,-1235.9532450868703,-1246.4995448138604,0.014675266191613816,0.00038890709098384033,0.9901608511755735,5,True,252,13000,2,1,0 days 00:00:00.285451,corn,0.5464555023472295,0.0693872450047265,0.5442254312288519
2091,2011-08-24 00:00:00+00:00,-1252.4524725680571,-1234.8053271305,-1245.3516268574901,0.014693035261998366,0.0003906759104815243,0.9892031760537042,5,True,252,13000,2,1,0 days 00:00:00.262033,corn,0.51696925256922,0.0687815559394396,0.5147800079178668
2092,2011-08-31 00:00:00+00:00,-1253.7722989331505,-1236.1251534955934,-1246.6714532225835,0.014657065688639144,0.000388678301260705,0.9899152707466248,5,True,252,13000,2,1,0 days 00:00:00.244599,corn,0.5257841301526166,0.06886388987984071,0.5239607252265155
2093,2011-09-08 00:00:00+00:00,-1262.4872175487967,-1244.8400721112396,-1255.3863718382297,0.01429080553450815,0.00037544168923373287,0.9781597242330948,5,True,252,13000,2,1,0 days 00:00:00.465800,corn,0.06286183382751155,0.06327189737279507,0.01559142382011665
2094,2011-09-15 00:00:00+00:00,-1264.2589695638203,-1246.6118241262632,-1257.1581238532533,0.014276597505297594,0.00037278940470798837,0.985647918502736,5,True,252,13000,2,1,0 days 00:00:00.249865,corn,0.4827678699438684,0.06751981331841037,0.4815624056957584
2095,2011-09-22 00:00:00+00:00,-1264.5372191678211,-1246.890073730264,-1257.4363734572541,0.014381372181848463,0.00037238816433189626,0.987413276308549,5,True,252,13000,2,1,0 days 00:00:00.280290,corn,0.5286671281340094,0.0638834235648316,0.5286109277551584
2096,2011-09-29 00:00:00+00:00,-1260.4435985774162,-1242.796453139859,-1253.3427528668492,0.014451519917212665,0.0003786923193472144,0.9814437391514462,5,True,252,13000,2,1,0 days 00:00:00.239089,corn,0.41052080079184194,0.0656159784862787,0.4094566134684036
2097,2011-10-06 00:00:00+00:00,-1274.2750829742222,-1256.627937536665,-1267.1742372636552,0.014092146407787106,0.00035827396901812127,0.977631596280176,5,True,252,13000,2,1,0 days 00:00:00.252796,corn,0.3939658326713347,0.06361169663247253,0.39323332169475556
2098,2011-10-13 00:00:00+00:00,-1276.3641893041886,-1258.7170438666315,-1269.2633435936216,0.0141157157675204,0.0003552922403620483,0.9825075797294259,5,True,252,13000,2,1,0 days 00:00:00.247112,corn,0.3896399004275921,0.063252254858852,0.38858998839803954
2099,2011-10-20 00:00:00+00:00,-1275.7182897537723,-1258.0711443162152,-1268.6174440432053,0.014134475878118847,0.00035619656792693007,0.9791708186577966,5,True,252,13000,2,1,0 days 00:00:00.555980,corn,0.3631446932158059,0.06270851137613062,0.36215002847852423
2100,2011-10-27 00:00:00+00:00,-1277.318011718497,-1259.67086628094,-1270.21716600793,0.014075261480988074,0.00035394987819682754,0.9786207953402696,5,True,252,13000,2,1,0 days 00:00:00.390223,corn,0.3558697934242667,0.06286236832578743,0.35470016318731246
2101,2011-11-03 00:00:00+00:00,-1277.9557477382978,-1260.3086023007406,-1270.8549020277308,0.0140177693227894,0.0003530434486987627,0.9761512913244322,5,True,252,13000,2,1,0 days 00:00:00.264616,corn,0.33936411902755514,0.06289558113156733,0.338291027832445
2102,2011-11-10 01:00:00+00:00,-1278.9908453053595,-1261.3436998678023,-1271.8899995947925,0.01393473295066448,0.0003516067625555764,0.9757716377323414,5,True,252,13000,2,1,0 days 00:00:00.222987,corn,0.34368576836221243,0.06273195620039783,0.3431532374020473
2103,2011-11-17 01:00:00+00:00,-1283.7655178318746,-1266.1183723943175,-1276.6646721213076,0.01381576510889714,0.0003450145880312197,0.9744195506114427,5,True,252,13000,2,1,0 days 00:00:00.284570,corn,0.30480456161615754,0.062455768363153676,0.30339942858649205
2104,2011-11-25 01:00:00+00:00,-1285.783324403597,-1268.1361789660398,-1278.68247869303,0.013705660070701403,0.0003422586560327753,0.9741620661122634,5,True,252,13000,2,1,0 days 00:00:00.273324,corn,0.3116888362000455,0.06235790178240757,0.31059106070769243
2105,2011-12-02 01:00:00+00:00,-1286.7513035080615,-1269.1041580705044,-1279.6504577974945,0.013604952205964579,0.00034093598388365576,0.9748567717525745,5,True,252,13000,2,1,0 days 00:00:00.232013,corn,0.3234714782813126,0.06228796654450875,0.3226694746376385
2106,2011-12-09 01:00:00+00:00,-1286.470641991271,-1268.8234965537138,-1279.369796280704,0.013595889705106166,0.00034131071759036695,0.973437896150065,5,True,252,13000,2,1,0 days 00:00:00.260125,corn,0.32384238579784014,0.06256636643874405,0.32325954726106837
