,asofdate,pnl
1255,1976-01-12 01:00:00+00:00,-1.5
1256,1976-01-13 01:00:00+00:00,-4.25
1257,1976-01-14 01:00:00+00:00,-7.5
1258,1976-01-15 01:00:00+00:00,-5.25
1259,1976-01-16 01:00:00+00:00,-2.0
1260,1976-01-19 01:00:00+00:00,2.0
1261,1976-01-20 01:00:00+00:00,4.5
1262,1976-01-21 01:00:00+00:00,8.75
1263,1976-01-22 01:00:00+00:00,7.25
1264,1976-01-23 01:00:00+00:00,5.25
1265,1976-01-26 01:00:00+00:00,4.75
1266,1976-01-27 01:00:00+00:00,6.0
1267,1976-01-28 01:00:00+00:00,1.25
1268,1976-01-29 01:00:00+00:00,0.5
1269,1976-01-30 01:00:00+00:00,3.75
1270,1976-02-02 01:00:00+00:00,-3.0
1271,1976-02-03 01:00:00+00:00,-2.75
1272,1976-02-04 01:00:00+00:00,-0.25
1273,1976-02-05 01:00:00+00:00,0.75
1274,1976-02-06 01:00:00+00:00,-0.75
1275,1976-02-09 01:00:00+00:00,-11.5
1276,1976-02-10 01:00:00+00:00,-11.5
1277,1976-02-11 01:00:00+00:00,-7.25
1278,1976-02-12 01:00:00+00:00,-4.5
1279,1976-02-13 01:00:00+00:00,-6.25
1280,1976-02-17 01:00:00+00:00,6.75
1281,1976-02-18 01:00:00+00:00,6.0
1282,1976-02-19 01:00:00+00:00,3.5
1283,1976-02-20 01:00:00+00:00,2.0
1284,1976-02-23 01:00:00+00:00,1.5
1285,1976-02-24 01:00:00+00:00,2.5
1286,1976-02-25 01:00:00+00:00,0.25
1287,1976-02-26 01:00:00+00:00,-1.5
1288,1976-02-27 01:00:00+00:00,-5.75
1289,1976-03-01 01:00:00+00:00,-3.25
1290,1976-03-02 01:00:00+00:00,4.75
1291,1976-03-03 01:00:00+00:00,1.75
1292,1976-03-04 01:00:00+00:00,1.5
1293,1976-03-05 01:00:00+00:00,-3.0
1294,1976-03-08 01:00:00+00:00,-0.25
1295,1976-03-09 01:00:00+00:00,1.75
1296,1976-03-10 01:00:00+00:00,-0.25
1297,1976-03-11 01:00:00+00:00,0.75
1298,1976-03-12 01:00:00+00:00,-2.75
1299,1976-03-15 01:00:00+00:00,-1.25
1300,1976-03-16 01:00:00+00:00,0.75
1301,1976-03-17 01:00:00+00:00,0.75
1302,1976-03-18 01:00:00+00:00,-1.0
1303,1976-03-19 01:00:00+00:00,0.75
1304,1976-03-22 01:00:00+00:00,1.75
1305,1976-03-23 01:00:00+00:00,2.0
1306,1976-03-24 01:00:00+00:00,0.5
1307,1976-03-25 01:00:00+00:00,-1.75
1308,1976-03-26 01:00:00+00:00,-4.25
1309,1976-03-29 01:00:00+00:00,-5.25
1310,1976-03-30 01:00:00+00:00,7.0
1311,1976-03-31 01:00:00+00:00,3.5
1312,1976-04-01 01:00:00+00:00,0.25
1313,1976-04-02 01:00:00+00:00,-1.25
1314,1976-04-05 01:00:00+00:00,-4.75
1315,1976-04-06 01:00:00+00:00,1.5
1316,1976-04-07 01:00:00+00:00,-1.25
1317,1976-04-08 01:00:00+00:00,-4.5
1318,1976-04-09 01:00:00+00:00,-5.0
1319,1976-04-12 01:00:00+00:00,-8.5
1320,1976-04-13 01:00:00+00:00,2.5
1321,1976-04-14 01:00:00+00:00,4.25
1322,1976-04-15 01:00:00+00:00,3.5
1323,1976-04-19 01:00:00+00:00,2.25
1324,1976-04-20 01:00:00+00:00,-1.75
1325,1976-04-21 01:00:00+00:00,1.0
1326,1976-04-22 01:00:00+00:00,1.75
1327,1976-04-23 01:00:00+00:00,2.0
1328,1976-04-26 00:00:00+00:00,0.75
1329,1976-04-27 00:00:00+00:00,-1.0
1330,1976-04-28 00:00:00+00:00,-3.75
1331,1976-04-29 00:00:00+00:00,-3.0
1332,1976-04-30 00:00:00+00:00,-0.25
1333,1976-05-03 00:00:00+00:00,0.0
1334,1976-05-04 00:00:00+00:00,0.5
1335,1976-05-05 00:00:00+00:00,2.75
1336,1976-05-06 00:00:00+00:00,3.75
