,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ar.L2.close,ma.L1.close,ma.L2.close
10,1996-09-30 13:00:00+00:00,-767.7118287042948,-746.5352541792263,-759.1908138516145,0.029469277526436504,0.0026991451404117625,0.8524210047863441,5,True,252,500,2,2,0 days 00:00:00.544021,palm_oil,0.012011823670099805,0.008212593365205054,0.014315158187732446,
11,1997-02-28 13:00:00+00:00,-767.7304992459316,-746.553924720863,-759.2094843932513,0.029449736792726396,0.0027118696165385633,0.8593223712715801,5,True,252,500,2,2,0 days 00:00:00.484077,palm_oil,0.013048351716067948,0.008521846526920394,0.01596701576115381,
12,1997-07-31 13:00:00+00:00,-755.7305695990486,-734.5539950739801,-747.2095547463683,0.027951663570487884,0.0027919145098731636,0.9007331270647453,5,True,252,500,2,2,0 days 00:00:00.714066,palm_oil,0.19182656399686332,0.18421685928187842,0.1958132392468974,0.1931744750609909
13,1998-01-01 13:00:00+00:00,-793.0590198909648,-771.8824453658963,-784.5380050382845,0.02888497436305415,0.002425166872777417,0.8970629504471146,5,True,252,500,2,2,0 days 00:00:03.895870,palm_oil,0.008723096699056094,,0.008522930363558036,
14,1998-05-29 13:00:00+00:00,-810.2433176348849,-789.0667431098163,-801.7223027822046,0.027681177728267115,0.002329734258412193,0.8843898758686436,5,True,252,500,2,2,0 days 00:00:00.605251,palm_oil,0.020637898656625547,0.006586068957137341,0.023200553490317598,
15,1998-10-30 13:00:00+00:00,-816.6554087766543,-795.4788342515858,-808.134393923974,0.026993537459483,0.0023086127131196326,0.8972579285963806,5,True,252,500,2,2,0 days 00:00:00.691838,palm_oil,0.019580309930583857,0.012418107261053829,0.033234478082007565,0.07236497033867291
16,1999-03-31 13:00:00+00:00,-842.4346259453099,-821.2580514202414,-833.9136110926296,0.023401010567501466,0.001989187675308904,0.8383952388424429,5,True,252,500,2,2,0 days 00:00:00.535285,palm_oil,0.5095016781244994,0.2638470311452079,0.5326670576199786,0.38525456413646925
17,1999-08-31 13:00:00+00:00,-954.0205202340713,-932.8439457090028,-945.499505381391,0.02035951144442135,0.0012726026301386677,0.7631961315418982,5,True,252,500,2,2,0 days 00:00:00.501483,palm_oil,0.05662129542284223,0.05342712275638809,0.09263185692941325,0.08333587941969006
18,2000-02-01 13:00:00+00:00,-966.6699820383332,-945.4934075132646,-958.1489671856529,0.020109325474483415,0.0012289322289898877,0.7571280024410226,5,True,252,500,2,2,0 days 00:00:00.754870,palm_oil,0.04796865083399367,0.0431708329702093,0.07606376288906899,0.07313005172319191
19,2000-06-30 13:00:00+00:00,-974.6879471722579,-953.5113726471893,-966.1669323195775,0.019072890682156847,0.0011788705814945904,0.7907260251468967,5,True,252,500,2,2,0 days 00:00:00.581519,palm_oil,0.1901842445911159,0.1665317728705387,0.17925514675681584,0.16922585720342476
20,2000-11-30 13:00:00+00:00,-998.9276118065551,-977.7510372814866,-990.4065969538748,0.01756155740260106,0.0010624356416146475,0.7449118887093535,5,True,252,500,2,2,0 days 00:00:00.413436,palm_oil,0.17472257781776704,0.13393763141628862,0.18512962970319558,0.1325076750142003
21,2001-05-01 13:00:00+00:00,-1053.6825556611966,-1032.505981136128,-1045.1615408085163,0.018145905256681603,0.0010243419986602305,0.8254166729283476,5,True,252,500,2,2,0 days 00:00:00.404367,palm_oil,0.17666313269830475,0.16510161146456792,0.18016523634802725,0.16043331786877935
22,2001-09-14 13:00:00+00:00,-1306.4472273009956,-1285.270652775927,-1297.9262124483153,0.013407656659025638,0.00031283377185780645,0.982070051186319,5,True,252,500,2,2,0 days 00:00:00.496821,palm_oil,0.8063354709791519,0.8233777671930227,0.7942268746737454,0.8102578919408369
23,2001-09-21 13:00:00+00:00,-1326.889838266326,-1305.7132637412574,-1318.3688234136457,0.012848472572310693,0.00028958098919249734,0.9652079522956439,5,True,252,500,2,2,0 days 00:00:00.946765,palm_oil,0.029220087757006127,0.02819346917941943,0.033678890658703754,0.048164245281928905
24,2001-09-28 13:00:00+00:00,-1330.4654261608944,-1309.2888516358257,-1321.944411308214,0.012796572843008853,0.0002850577358092932,0.9767193648235462,5,True,252,500,2,2,0 days 00:00:01.104181,palm_oil,0.008507164112958729,0.001419323453535023,0.01450645086417305,0.022326116223561433
25,2001-10-05 13:00:00+00:00,-1335.2722037178214,-1314.0956291927528,-1326.751188865141,0.012646069775406575,0.00027945169117212464,0.9718450217487336,5,True,252,500,2,2,0 days 00:00:01.021007,palm_oil,0.08226014873816814,0.10062776921420871,0.10103167177664542,0.09295363720654952
26,2001-10-12 13:00:00+00:00,-1357.972087214177,-1336.7955126891084,-1349.4510723614967,0.01210975659546844,0.00025591905129822664,0.9569394213797994,5,True,252,500,2,2,0 days 00:00:01.184035,palm_oil,0.011941320273053651,0.007083639679578659,0.019196256923465823,0.018444466455332643
27,2001-10-19 13:00:00+00:00,-1358.1098247999785,-1336.9332502749098,-1349.5888099472982,0.012172838132245864,0.00025504555056407975,0.9820758150864947,5,True,252,500,2,2,0 days 00:00:00.651781,palm_oil,0.9483131270294846,0.9186958011127945,0.9542391981098931,0.9541853186485635
