Date,asofdate,pointForecast,Close,forecastday,product_name,MA_50,MA_diff_50
2019-12-27 00:00:00-05:00,2019-12-30 00:00:00-05:00,15.697325948331867,15.6899995803833,3,SOYB,15.481400032043457,-0.00300001144409201
2019-12-30 00:00:00-05:00,2019-12-31 00:00:00-05:00,15.69835095846785,15.8100004196167,4,SOYB,15.48020004272461,-0.0011999893188470168
2019-12-31 00:00:00-05:00,2020-01-02 00:00:00-05:00,15.697855582376356,15.829999923706056,5,SOYB,15.478200035095215,-0.0020000076293946734
2020-01-02 00:00:00-05:00,2020-01-03 00:00:00-05:00,15.86296022088316,15.869999885559082,1,SOYB,15.477800025939942,-0.0004000091552729401
2020-01-03 00:00:00-05:00,2020-01-06 00:00:00-05:00,15.870367189464664,15.65999984741211,2,SOYB,15.473200016021728,-0.004600009918213743
2020-01-06 00:00:00-05:00,2020-01-07 00:00:00-05:00,15.866793919415208,15.710000038146973,3,SOYB,15.469400024414062,-0.0037999916076660867
2020-01-07 00:00:00-05:00,2020-01-08 00:00:00-05:00,15.868517427775176,15.670000076293944,4,SOYB,15.464000034332276,-0.0053999900817860436
2020-01-08 00:00:00-05:00,2020-01-09 00:00:00-05:00,15.867686049886247,15.720000267028809,5,SOYB,15.463400039672852,-0.0005999946594243966
2020-01-09 00:00:00-05:00,2020-01-10 00:00:00-05:00,15.653721995468869,15.649999618530272,1,SOYB,15.461400032043457,-0.0020000076293946734
2020-01-10 00:00:00-05:00,2020-01-13 00:00:00-05:00,15.642073165662037,15.729999542236328,2,SOYB,15.462000026702881,0.0005999946594243966
2020-01-13 00:00:00-05:00,2020-01-14 00:00:00-05:00,15.647770278267902,15.630000114440918,3,SOYB,15.460600032806397,-0.001399993896484375
2020-01-14 00:00:00-05:00,2020-01-15 00:00:00-05:00,15.64498319281682,15.670000076293944,4,SOYB,15.4596000289917,-0.0010000038146973367
2020-01-15 00:00:00-05:00,2020-01-16 00:00:00-05:00,15.646346474541978,15.460000038146973,5,SOYB,15.453000030517579,-0.0065999984741207385
2020-01-16 00:00:00-05:00,2020-01-17 00:00:00-05:00,15.381250694136996,15.390000343322754,1,SOYB,15.4446000289917,-0.00840000152587983
2020-01-17 00:00:00-05:00,2020-01-21 00:00:00-05:00,15.38975156669566,15.43000030517578,2,SOYB,15.438000030517578,-0.0065999984741207385
2020-01-21 00:00:00-05:00,2020-01-22 00:00:00-05:00,15.3848330076257,15.25,3,SOYB,15.429800033569336,-0.008199996948242472
2020-01-22 00:00:00-05:00,2020-01-23 00:00:00-05:00,15.387678336407294,15.220000267028809,4,SOYB,15.418800029754639,-0.011000003814697124
2020-01-23 00:00:00-05:00,2020-01-24 00:00:00-05:00,15.386032172016348,15.149999618530272,5,SOYB,15.408200016021729,-0.010600013732910085
2020-01-24 00:00:00-05:00,2020-01-27 00:00:00-05:00,15.03975948494905,15.039999961853027,1,SOYB,15.399600009918213,-0.008600006103515412
