,as_of_date,PnL
10226,2014-06-30 08:15:00+00:00,0
10227,2014-07-01 08:15:00+00:00,0
10228,2014-07-02 08:15:00+00:00,0
10229,2014-07-03 08:15:00+00:00,0
10230,2014-07-07 08:15:00+00:00,0
10231,2014-07-08 08:15:00+00:00,0
10232,2014-07-09 08:15:00+00:00,0
10233,2014-07-10 08:15:00+00:00,0
10234,2014-07-11 08:15:00+00:00,0
10235,2014-07-14 08:15:00+00:00,0
10236,2014-07-15 08:15:00+00:00,0
10237,2014-07-16 08:15:00+00:00,0
10238,2014-07-17 08:15:00+00:00,0
10239,2014-07-18 08:15:00+00:00,0
10240,2014-07-21 08:15:00+00:00,0
10241,2014-07-22 08:15:00+00:00,0
10242,2014-07-23 08:15:00+00:00,0
10243,2014-07-24 08:15:00+00:00,0
10244,2014-07-25 08:15:00+00:00,0
10245,2014-07-28 08:15:00+00:00,0
10246,2014-07-29 08:15:00+00:00,0
10247,2014-07-30 08:15:00+00:00,0
10248,2014-07-31 08:15:00+00:00,0
10249,2014-08-01 08:15:00+00:00,0
10250,2014-08-04 08:15:00+00:00,0
10251,2014-08-05 08:15:00+00:00,0
10252,2014-08-06 08:15:00+00:00,0
10253,2014-08-07 08:15:00+00:00,0
10254,2014-08-08 08:15:00+00:00,0
10255,2014-08-11 08:15:00+00:00,0
10256,2014-08-12 08:15:00+00:00,0
10257,2014-08-13 08:15:00+00:00,0
10258,2014-08-14 08:15:00+00:00,0
10259,2014-08-15 08:15:00+00:00,0
10260,2014-08-18 08:15:00+00:00,0
10261,2014-08-19 08:15:00+00:00,0
10262,2014-08-20 08:15:00+00:00,0
10263,2014-08-21 08:15:00+00:00,0
10264,2014-08-22 08:15:00+00:00,0
10265,2014-08-25 08:15:00+00:00,0
10266,2014-08-26 08:15:00+00:00,0
10267,2014-08-27 08:15:00+00:00,0
10268,2014-08-28 08:15:00+00:00,0
10269,2014-08-29 08:15:00+00:00,0
10270,2014-09-02 08:15:00+00:00,0
10271,2014-09-03 08:15:00+00:00,0
10272,2014-09-04 08:15:00+00:00,0
10273,2014-09-05 08:15:00+00:00,0
10274,2014-09-08 08:15:00+00:00,0
10275,2014-09-09 08:15:00+00:00,0
10276,2014-09-10 08:15:00+00:00,0
10277,2014-09-11 08:15:00+00:00,0
10278,2014-09-12 08:15:00+00:00,0
10279,2014-09-15 08:15:00+00:00,0
10280,2014-09-16 08:15:00+00:00,0
10281,2014-09-17 08:15:00+00:00,0
10282,2014-09-18 08:15:00+00:00,0
10283,2014-09-19 08:15:00+00:00,0
10284,2014-09-22 08:15:00+00:00,0
10285,2014-09-23 08:15:00+00:00,0
10286,2014-09-24 08:15:00+00:00,0
10287,2014-09-25 08:15:00+00:00,0
10288,2014-09-26 08:15:00+00:00,0
10289,2014-09-29 08:15:00+00:00,0
10290,2014-09-30 08:15:00+00:00,0
10291,2014-10-01 08:15:00+00:00,0
10292,2014-10-02 08:15:00+00:00,0
10293,2014-10-03 08:15:00+00:00,0
10294,2014-10-06 08:15:00+00:00,0
10295,2014-10-07 08:15:00+00:00,0
10296,2014-10-08 08:15:00+00:00,0
10297,2014-10-09 08:15:00+00:00,0
10298,2014-10-10 08:15:00+00:00,0
10299,2014-10-13 08:15:00+00:00,0
10300,2014-10-14 08:15:00+00:00,0
10301,2014-10-15 08:15:00+00:00,0
10302,2014-10-16 08:15:00+00:00,0
10303,2014-10-17 08:15:00+00:00,0
10304,2014-10-20 08:15:00+00:00,0
10305,2014-10-21 08:15:00+00:00,0
10306,2014-10-22 08:15:00+00:00,0
10307,2014-10-23 08:15:00+00:00,0
10308,2014-10-24 08:15:00+00:00,0
10309,2014-10-27 08:15:00+00:00,0
10310,2014-10-28 08:15:00+00:00,0
10311,2014-10-29 08:15:00+00:00,0
10312,2014-10-30 08:15:00+00:00,0
10313,2014-10-31 08:15:00+00:00,0
10314,2014-11-03 09:15:00+00:00,0
10315,2014-11-04 09:15:00+00:00,0
10316,2014-11-05 09:15:00+00:00,0
10317,2014-11-06 09:15:00+00:00,0
10318,2014-11-07 09:15:00+00:00,0
10319,2014-11-10 09:15:00+00:00,0
10320,2014-11-11 09:15:00+00:00,0
10321,2014-11-12 09:15:00+00:00,0
10322,2014-11-13 09:15:00+00:00,0
10323,2014-11-14 09:15:00+00:00,0
10324,2014-11-17 09:15:00+00:00,0
10325,2014-11-18 09:15:00+00:00,0
10326,2014-11-19 09:15:00+00:00,0
10327,2014-11-20 09:15:00+00:00,0
10328,2014-11-21 09:15:00+00:00,0
10329,2014-11-24 09:15:00+00:00,0
10330,2014-11-25 09:15:00+00:00,0
10331,2014-11-26 09:15:00+00:00,0
10332,2014-11-28 09:15:00+00:00,0
10333,2014-12-01 09:15:00+00:00,0
10334,2014-12-02 09:15:00+00:00,0
10335,2014-12-03 09:15:00+00:00,0
10336,2014-12-04 09:15:00+00:00,0
10337,2014-12-05 09:15:00+00:00,0
10338,2014-12-08 09:15:00+00:00,0
10339,2014-12-09 09:15:00+00:00,0
10340,2014-12-10 09:15:00+00:00,0
10341,2014-12-11 09:15:00+00:00,0
10342,2014-12-12 09:15:00+00:00,0
10343,2014-12-15 09:15:00+00:00,0
10344,2014-12-16 09:15:00+00:00,0
10345,2014-12-17 09:15:00+00:00,0
10346,2014-12-18 09:15:00+00:00,0
10347,2014-12-19 09:15:00+00:00,0
10348,2014-12-22 09:15:00+00:00,0
10349,2014-12-23 09:15:00+00:00,0
10350,2014-12-24 09:15:00+00:00,0
10351,2014-12-26 09:15:00+00:00,0
10352,2014-12-29 09:15:00+00:00,0
10353,2014-12-30 09:15:00+00:00,0
10354,2014-12-31 09:15:00+00:00,0
10355,2015-01-02 09:15:00+00:00,0
10356,2015-01-05 09:15:00+00:00,0
10357,2015-01-06 09:15:00+00:00,0
